"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
33.4692940696632,24.1353519319091,21.5492485347204,22.1019127999898,23.3072550385259,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33.5253171900754,20.4232701112051,23.4721829998307,20.6601517333183,20.0268012203742,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31.9399631334036,23.9860727381893,21.5867869788781,21.5811356878839,20.5150039505679,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.5872482365358,23.03678057855,21.1459343892056,20.560946513433,23.6187358992174,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
32.3265420087461,21.2233094486874,21.7446175799705,20.5801810312551,20.7915048871655,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
33.5354090506036,20.3980018582661,24.1989975527395,20.5172728351317,23.2391315000132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
32.6145427016379,22.6541076460853,21.8397277244367,21.2992022116669,22.4207786296029,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
33.7203060842213,20.6807184591889,24.8653216555249,21.8581080657896,20.1188865222502,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33.6068795424066,21.1789425089955,22.8483938798308,24.3923159642145,24.2887512629386,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
33.9915396575065,21.7784790520091,21.8634658399969,22.596076928312,24.8079166316893,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
34.0157717565553,24.3054272967856,23.5899916663766,21.0986949864309,24.1172192886006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
33.6920133046203,24.0166195633356,22.5979262473993,24.8603514523711,23.8688444811851,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33.4714700681548,21.0266582295299,21.3667661976069,20.2527809632011,24.9836078379303,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
